fold,probe_id
3,214960_at
3,215233_at
3,215339_at
3,215348_at
3,215461_at
3,215733_x_at
3,215746_at
3,215825_at
3,215943_at
3,216313_at
3,216831_s_at
3,216896_at
3,217254_s_at
3,217352_at
3,217363_x_at
3,217996_at
3,218651_s_at
3,218902_at
3,219005_at
3,219051_x_at
3,219230_at
3,220281_at
3,220497_at
3,220507_s_at
3,220820_at
3,220955_x_at
3,221315_s_at
3,221363_x_at
4,200011_s_at
4,200072_s_at
4,200092_s_at
4,200654_at
4,200656_s_at
4,200708_at
4,200734_s_at
4,200844_s_at
4,200870_at
4,200920_s_at
4,200973_s_at
4,201078_at
4,201101_s_at
4,201177_s_at
4,201202_at
4,201398_s_at
4,201405_s_at
4,201581_at
4,201687_s_at
4,201696_at
4,201779_s_at
4,201780_s_at
4,201802_at
4,201855_s_at
4,201915_at
4,201923_at
4,201936_s_at
4,201988_s_at
4,202047_s_at
4,202048_s_at
4,202247_s_at
4,202274_at
4,202359_s_at
4,202467_s_at
4,202479_s_at
4,202487_s_at
4,202583_s_at
4,202633_at
4,202740_at
4,202754_at
4,202825_at
4,202858_at
4,202864_s_at
4,202891_at
4,202922_at
4,202944_at
4,202956_at
4,203004_s_at
4,203025_at
4,203038_at
4,203130_s_at
4,203161_s_at
4,203200_s_at
4,203244_at
4,203274_at
4,203303_at
4,203314_at
4,203375_s_at
4,203398_s_at
4,203456_at
4,203504_s_at
4,203505_at
4,203538_at
4,203613_s_at
4,203618_at
4,203692_s_at
4,203728_at
4,203750_s_at
4,203778_at
4,203780_at
4,203792_x_at
4,203806_s_at
4,203851_at
4,203862_s_at
4,203872_at
4,203906_at
4,203916_at
4,203921_at
4,204001_at
4,204009_s_at
4,204012_s_at
4,204096_s_at
4,204126_s_at
4,204149_s_at
4,204195_s_at
4,204246_s_at
4,204351_at
4,204414_at
4,204499_at
4,204516_at
4,204544_at
4,204553_x_at
4,204568_at
4,204585_s_at
4,204631_at
4,204710_s_at
4,204764_at
4,204775_at
4,204802_at
4,204851_s_at
4,204854_at
4,204945_at
4,204947_at
4,204958_at
4,205001_s_at
4,205006_s_at
4,205042_at
4,205074_at
4,205082_s_at
4,205163_at
4,205217_at
4,205292_s_at
4,205298_s_at
4,205328_at
4,205347_s_at
4,205368_at
4,205424_at
4,205432_at
4,205501_at
4,205602_x_at
4,205617_at
4,205635_at
4,205665_at
4,205690_s_at
4,205695_at
4,205703_at
4,205751_at
4,205774_at
4,205783_at
4,205833_s_at
4,205868_s_at
4,205910_s_at
4,205963_s_at
4,205972_at
4,206000_at
4,206008_at
4,206029_at
4,206057_x_at
4,206065_s_at
4,206066_s_at
4,206075_s_at
4,206096_at
4,206108_s_at
4,206137_at
4,206189_at
4,206194_at
4,206228_at
4,206229_x_at
4,206239_s_at
4,206245_s_at
4,206265_s_at
4,206278_at
4,206279_at
4,206312_at
4,206340_at
4,206355_at
4,206367_at
4,206373_at
4,206393_at
4,206422_at
4,206433_s_at
4,206444_at
4,206449_s_at
4,206459_s_at
4,206462_s_at
4,206466_at
4,206480_at
4,206487_at
4,206506_s_at
4,206515_at
4,206518_s_at
4,206566_at
4,206568_at
4,206603_at
4,206749_at
4,206784_at
4,206786_at
4,206800_at
4,206830_at
4,206886_x_at
4,206911_at
4,206918_s_at
4,206952_at
4,206954_at
4,206957_at
4,206971_at
4,207015_s_at
4,207039_at
4,207060_at
4,207068_at
4,207073_at
4,207081_s_at
4,207117_at
4,207119_at
4,207235_s_at
4,207240_s_at
4,207252_at
4,207314_x_at
4,207346_at
4,207454_at
4,207510_at
4,207530_s_at
4,207536_s_at
4,207579_at
4,207586_at
4,207609_s_at
4,207657_x_at
4,207678_s_at
4,207692_s_at
4,207695_s_at
4,207706_at
4,207744_at
4,207758_at
4,207823_s_at
4,207829_s_at
4,207837_at
4,207864_at
4,207872_s_at
4,207899_at
4,208022_s_at
4,208063_s_at
4,208080_at
4,208123_at
4,208130_s_at
4,208142_at
4,208163_s_at
4,208165_s_at
4,208202_s_at
4,208251_at
4,208288_at
4,208338_at
4,208346_at
4,208363_s_at
4,208459_s_at
4,208493_at
4,208549_x_at
4,208564_at
4,208586_s_at
4,208629_s_at
4,208640_at
4,208641_s_at
4,208678_at
4,208711_s_at
4,208731_at
4,208732_at
4,208734_x_at
4,208798_x_at
4,208800_at
4,208815_x_at
4,208854_s_at
4,208878_s_at
4,208888_s_at
4,208908_s_at
4,208921_s_at
4,208922_s_at
4,208926_at
4,209005_at
4,209035_at
4,209050_s_at
4,209051_s_at
4,209060_x_at
4,209070_s_at
4,209097_s_at
4,209122_at
4,209201_x_at
4,209338_at
4,209507_at
4,209518_at
4,209597_s_at
4,209601_at
4,209635_at
4,209644_x_at
4,209658_at
4,209678_s_at
4,209686_at
4,209727_at
4,209740_s_at
4,209797_at
4,209805_at
4,209819_at
4,209821_at
4,209838_at
4,209849_s_at
4,209860_s_at
4,209924_at
4,209931_s_at
4,210016_at
4,210045_at
4,210063_at
4,210084_x_at
4,210107_at
4,210118_s_at
4,210128_s_at
4,210138_at
4,210161_at
4,210170_at
4,210173_at
4,210196_s_at
4,210213_s_at
4,210277_at
4,210298_x_at
4,210368_at
4,210377_at
4,210389_x_at
4,210432_s_at
4,210456_at
4,210461_s_at
4,210564_x_at
4,210588_x_at
4,210596_at
4,210605_s_at
4,210625_s_at
4,210639_s_at
4,210643_at
4,210661_at
4,210678_s_at
4,210709_at
4,210745_at
4,210771_at
4,210832_x_at
4,210834_s_at
4,210843_s_at
4,210845_s_at
4,210862_s_at
4,210870_s_at
4,210907_s_at
4,210996_s_at
4,211065_x_at
4,211071_s_at
4,211103_at
4,211113_s_at
4,211261_at
4,211276_at
4,211312_s_at
4,211338_at
4,211343_s_at
4,211359_s_at
4,211425_x_at
4,211551_at
4,211588_s_at
4,211620_x_at
4,211627_x_at
4,211650_x_at
4,211670_x_at
4,211780_x_at
4,211789_s_at
4,211837_s_at
4,211883_x_at
4,211892_s_at
4,211901_s_at
4,211919_s_at
4,211924_s_at
4,211931_s_at
4,212021_s_at
4,212102_s_at
4,212132_at
4,212135_s_at
4,212136_at
4,212148_at
4,212149_at
4,212150_at
4,212155_at
4,212221_x_at
4,212257_s_at
4,212259_s_at
4,212287_at
4,212317_at
4,212330_at
4,212358_at
4,212375_at
4,212421_at
4,212431_at
4,212466_at
4,212490_at
4,212584_at
4,212670_at
4,212682_s_at
4,212711_at
4,212791_at
4,212799_at
4,212852_s_at
4,212883_at
4,212909_at
4,213029_at
4,213071_at
4,213091_at
4,213120_at
4,213148_at
4,213176_s_at
4,213178_s_at
4,213203_at
4,213233_s_at
4,213345_at
4,213407_at
4,213448_at
4,213462_at
4,213633_at
4,213637_at
4,213641_at
4,213655_at
4,213689_x_at
4,213734_at
4,213757_at
4,213769_at
4,213776_at
4,213803_at
4,213808_at
4,213810_s_at
